IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
59.10.212.196,39397,TRUE,ICN,亚太,首尔,109 ms,7286 kB/s,7.12
125.130.137.76,39702,TRUE,ICN,亚太,首尔,91 ms,7267 kB/s,7.1
52.56.230.137,8443,TRUE,LHR,欧洲,伦敦,173 ms,7261 kB/s,7.09
154.7.179.213,33573,TRUE,LAX,北美洲,洛杉矶,183 ms,7249 kB/s,7.08
172.190.150.25,8443,TRUE,IAD,北美洲,阿什本,194 ms,7241 kB/s,7.07
34.159.240.161,443,TRUE,FRA,欧洲,法兰克福,328 ms,7187 kB/s,7.02
34.159.51.38,443,TRUE,FRA,欧洲,法兰克福,254 ms,7092 kB/s,6.93
8.218.156.91,2087,TRUE,HKG,亚太,香港,41 ms,7086 kB/s,6.92
20.150.194.248,443,TRUE,LAX,北美洲,洛杉矶,170 ms,6939 kB/s,6.78
211.186.222.122,10250,TRUE,ICN,亚太,首尔,88 ms,6913 kB/s,6.75
104.16.48.50,2052,FALSE,SEA,北美洲,西雅图,181 ms,6903 kB/s,6.74
104.18.47.50,2052,FALSE,HKG,亚太,香港,35 ms,6901 kB/s,6.74
218.49.165.151,30001,TRUE,ICN,亚太,首尔,133 ms,6900 kB/s,6.74
173.242.117.88,2083,TRUE,LAX,北美洲,洛杉矶,172 ms,6742 kB/s,6.58
107.182.26.47,2086,FALSE,LAX,北美洲,洛杉矶,175 ms,6713 kB/s,6.56
34.107.25.251,443,TRUE,FRA,欧洲,法兰克福,339 ms,6685 kB/s,6.53
35.204.71.150,443,TRUE,FRA,欧洲,法兰克福,335 ms,6649 kB/s,6.49
34.65.69.203,443,TRUE,FRA,欧洲,法兰克福,336 ms,6591 kB/s,6.44
8.218.156.91,2082,FALSE,HKG,亚太,香港,39 ms,6578 kB/s,6.42
104.18.46.50,2052,FALSE,HKG,亚太,香港,37 ms,6554 kB/s,6.4
172.64.52.50,2052,FALSE,LAX,北美洲,洛杉矶,206 ms,6523 kB/s,6.37
34.105.3.218,443,TRUE,SEA,北美洲,西雅图,188 ms,6465 kB/s,6.31
154.197.121.13,8443,TRUE,SEA,北美洲,西雅图,182 ms,6429 kB/s,6.28
34.116.219.165,443,TRUE,FRA,欧洲,法兰克福,240 ms,6414 kB/s,6.26
34.159.131.159,443,TRUE,FRA,欧洲,法兰克福,186 ms,6391 kB/s,6.24
154.9.237.226,20002,TRUE,LAX,北美洲,洛杉矶,164 ms,6386 kB/s,6.24
20.151.142.151,8443,TRUE,YYZ,北美洲,多伦多,201 ms,6382 kB/s,6.23
35.177.209.223,8080,TRUE,LHR,欧洲,伦敦,209 ms,6300 kB/s,6.15
13.41.185.8,8080,TRUE,LHR,欧洲,伦敦,207 ms,6271 kB/s,6.12
8.218.136.25,2095,FALSE,HKG,亚太,香港,38 ms,6263 kB/s,6.12
47.243.179.249,2086,FALSE,HKG,亚太,香港,40 ms,6259 kB/s,6.11
154.12.39.145,47971,TRUE,LAX,北美洲,洛杉矶,162 ms,6251 kB/s,6.1
8.218.156.91,2096,TRUE,HKG,亚太,香港,39 ms,6231 kB/s,6.08
47.242.17.250,8443,TRUE,HKG,亚太,香港,44 ms,6221 kB/s,6.08
178.33.196.127,2053,TRUE,CDG,欧洲,巴黎,293 ms,6214 kB/s,6.07
8.218.136.25,2086,FALSE,HKG,亚太,香港,39 ms,6211 kB/s,6.07
104.20.64.50,2052,FALSE,LAX,北美洲,洛杉矶,210 ms,6121 kB/s,5.98
104.21.16.50,2052,FALSE,SEA,北美洲,西雅图,185 ms,6100 kB/s,5.96
104.17.0.50,2052,FALSE,SJC,北美洲,圣何塞,192 ms,6068 kB/s,5.93
34.116.132.141,443,TRUE,FRA,欧洲,法兰克福,253 ms,6006 kB/s,5.87
8.218.156.91,8443,TRUE,HKG,亚太,香港,41 ms,5903 kB/s,5.76
172.208.36.45,443,TRUE,IAD,北美洲,阿什本,204 ms,5896 kB/s,5.76
47.243.179.249,2052,FALSE,HKG,亚太,香港,40 ms,5848 kB/s,5.71
34.159.71.208,443,TRUE,FRA,欧洲,法兰克福,233 ms,5825 kB/s,5.69
172.67.64.50,2052,FALSE,SEA,北美洲,西雅图,178 ms,5814 kB/s,5.68
59.3.3.161,443,TRUE,ICN,亚太,首尔,76 ms,5764 kB/s,5.63
34.208.221.169,443,TRUE,SEA,北美洲,西雅图,192 ms,5730 kB/s,5.6
20.119.73.200,80,FALSE,IAD,北美洲,阿什本,194 ms,5728 kB/s,5.59
210.87.195.139,26439,TRUE,ICN,亚太,首尔,41 ms,5727 kB/s,5.59
13.40.87.247,8080,TRUE,LHR,欧洲,伦敦,234 ms,5704 kB/s,5.57
34.118.61.214,443,TRUE,FRA,欧洲,法兰克福,314 ms,5652 kB/s,5.52
8.218.11.90,80,FALSE,HKG,亚太,香港,39 ms,5633 kB/s,5.5
13.52.251.56,8443,TRUE,SJC,北美洲,圣何塞,195 ms,5630 kB/s,5.5
129.151.205.193,443,TRUE,ARN,欧洲,斯德哥尔摩,241 ms,5619 kB/s,5.49
20.250.70.204,2083,TRUE,MXP,欧洲,米兰,248 ms,5605 kB/s,5.47
129.146.186.4,443,TRUE,LAX,北美洲,洛杉矶,212 ms,5593 kB/s,5.46
104.25.144.50,2052,FALSE,SJC,北美洲,圣何塞,186 ms,5563 kB/s,5.43
20.33.18.23,443,TRUE,MXP,欧洲,米兰,247 ms,5561 kB/s,5.43
118.163.128.81,17333,TRUE,KHH,亚太,高雄,103 ms,5549 kB/s,5.42
104.22.48.50,2052,FALSE,SEA,北美洲,西雅图,179 ms,5537 kB/s,5.41
47.243.179.249,8080,FALSE,HKG,亚太,香港,40 ms,5531 kB/s,5.4
35.246.178.223,443,TRUE,FRA,欧洲,法兰克福,267 ms,5515 kB/s,5.39
104.17.32.50,2052,FALSE,SJC,北美洲,圣何塞,178 ms,5505 kB/s,5.38
15.222.245.142,8443,TRUE,YUL,北美洲,蒙特利尔,249 ms,5491 kB/s,5.36
8.218.136.25,2082,FALSE,HKG,亚太,香港,40 ms,5481 kB/s,5.35
104.17.80.50,2052,FALSE,SJC,北美洲,圣何塞,186 ms,5455 kB/s,5.33
45.93.30.117,27445,TRUE,ICN,亚太,首尔,50 ms,5446 kB/s,5.32
35.242.242.5,443,TRUE,FRA,欧洲,法兰克福,301 ms,5435 kB/s,5.31
210.87.202.245,52646,TRUE,ICN,亚太,首尔,54 ms,5428 kB/s,5.3
47.243.179.249,2095,FALSE,HKG,亚太,香港,39 ms,5413 kB/s,5.29
34.91.188.157,443,TRUE,FRA,欧洲,法兰克福,267 ms,5394 kB/s,5.27
8.218.126.53,443,TRUE,HKG,亚太,香港,36 ms,5388 kB/s,5.26
150.136.241.40,8443,TRUE,IAD,北美洲,阿什本,250 ms,5290 kB/s,5.17
20.84.118.215,2053,TRUE,IAD,北美洲,阿什本,198 ms,5284 kB/s,5.16
47.243.179.249,2053,TRUE,HKG,亚太,香港,40 ms,5258 kB/s,5.13
104.25.32.50,2052,FALSE,SJC,北美洲,圣何塞,190 ms,5255 kB/s,5.13
15.222.245.142,2053,TRUE,YUL,北美洲,蒙特利尔,221 ms,5211 kB/s,5.09
104.16.64.50,2052,FALSE,SJC,北美洲,圣何塞,163 ms,5177 kB/s,5.06
34.118.43.13,443,TRUE,FRA,欧洲,法兰克福,320 ms,5176 kB/s,5.05
45.136.15.212,34237,TRUE,HKG,亚太,香港,37 ms,5155 kB/s,5.03
3.107.40.57,8443,TRUE,SYD,大洋洲,悉尼,173 ms,5153 kB/s,5.03
104.25.0.50,2052,FALSE,LAX,北美洲,洛杉矶,209 ms,5140 kB/s,5.02
104.21.96.50,2052,FALSE,SJC,北美洲,圣何塞,193 ms,5134 kB/s,5.01
210.111.176.108,20082,TRUE,ICN,亚太,首尔,47 ms,5087 kB/s,4.97
35.226.253.33,8443,TRUE,ORD,北美洲,芝加哥,206 ms,5065 kB/s,4.95
47.242.171.94,8080,FALSE,HKG,亚太,香港,40 ms,5037 kB/s,4.92
8.210.55.134,8880,FALSE,HKG,亚太,香港,40 ms,5017 kB/s,4.9
154.9.246.188,18859,TRUE,HKG,亚太,香港,38 ms,5013 kB/s,4.9
34.141.247.93,443,TRUE,FRA,欧洲,法兰克福,190 ms,4954 kB/s,4.84
54.78.247.14,8443,TRUE,DUB,欧洲,都柏林,242 ms,4951 kB/s,4.83
52.52.116.32,443,TRUE,SJC,北美洲,圣何塞,187 ms,4916 kB/s,4.8
146.56.133.140,2096,FALSE,NRT,亚太,东京,52 ms,4888 kB/s,4.77
54.179.184.9,443,TRUE,SIN,亚太,新加坡,65 ms,4863 kB/s,4.75
15.156.194.152,8443,TRUE,YUL,北美洲,蒙特利尔,256 ms,4836 kB/s,4.72
34.107.42.64,443,TRUE,FRA,欧洲,法兰克福,342 ms,4834 kB/s,4.72
40.233.20.157,2053,TRUE,DFW,北美洲,达拉斯,236 ms,4823 kB/s,4.71
192.18.134.231,443,TRUE,SJC,北美洲,圣何塞,197 ms,4815 kB/s,4.7
51.107.7.135,8443,TRUE,MXP,欧洲,米兰,261 ms,4804 kB/s,4.69
47.242.171.94,2083,TRUE,HKG,亚太,香港,39 ms,4769 kB/s,4.66
34.118.63.12,443,TRUE,FRA,欧洲,法兰克福,310 ms,4758 kB/s,4.65
104.18.36.50,2052,FALSE,LAX,北美洲,洛杉矶,207 ms,4753 kB/s,4.64
34.154.15.24,443,TRUE,FRA,欧洲,法兰克福,195 ms,4725 kB/s,4.61
47.76.33.40,2087,TRUE,HKG,亚太,香港,40 ms,4722 kB/s,4.61
8.218.156.91,443,TRUE,HKG,亚太,香港,41 ms,4697 kB/s,4.59
47.242.17.250,2096,TRUE,HKG,亚太,香港,41 ms,4689 kB/s,4.58
104.18.37.50,2052,FALSE,SEA,北美洲,西雅图,180 ms,4675 kB/s,4.57
3.144.191.4,443,TRUE,ORD,北美洲,芝加哥,261 ms,4672 kB/s,4.56
47.242.17.250,2083,TRUE,HKG,亚太,香港,44 ms,4667 kB/s,4.56
34.141.220.180,443,TRUE,FRA,欧洲,法兰克福,300 ms,4658 kB/s,4.55
140.238.195.98,443,TRUE,SYD,大洋洲,悉尼,165 ms,4615 kB/s,4.51
172.64.35.50,2052,FALSE,LAX,北美洲,洛杉矶,208 ms,4594 kB/s,4.49
13.42.76.114,8443,TRUE,LHR,欧洲,伦敦,238 ms,4593 kB/s,4.49
104.16.112.50,2052,FALSE,SJC,北美洲,圣何塞,162 ms,4568 kB/s,4.46
138.2.69.236,11216,TRUE,SIN,亚太,新加坡,140 ms,4564 kB/s,4.46
34.118.126.123,443,TRUE,FRA,欧洲,法兰克福,205 ms,4517 kB/s,4.41
104.19.160.50,2052,FALSE,SEA,北美洲,西雅图,186 ms,4496 kB/s,4.39
15.156.194.152,2053,TRUE,YUL,北美洲,蒙特利尔,228 ms,4480 kB/s,4.38
47.76.33.40,2096,TRUE,HKG,亚太,香港,47 ms,4478 kB/s,4.37
3.255.85.120,2053,TRUE,DUB,欧洲,都柏林,220 ms,4470 kB/s,4.37
8.218.52.115,2052,FALSE,HKG,亚太,香港,41 ms,4460 kB/s,4.36
47.243.179.249,2087,TRUE,HKG,亚太,香港,41 ms,4451 kB/s,4.35
129.146.7.98,443,TRUE,LAX,北美洲,洛杉矶,203 ms,4412 kB/s,4.31
139.185.34.245,443,TRUE,DXB,中东,迪拜,145 ms,4410 kB/s,4.31
20.81.104.97,80,FALSE,IAD,北美洲,阿什本,198 ms,4364 kB/s,4.26
51.107.6.220,8443,TRUE,MXP,欧洲,米兰,263 ms,4361 kB/s,4.26
104.25.224.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,4320 kB/s,4.22
47.76.171.106,8080,FALSE,HKG,亚太,香港,36 ms,4318 kB/s,4.22
168.138.13.201,443,TRUE,MEL,大洋洲,墨尔本,174 ms,4286 kB/s,4.19
47.243.45.67,34237,TRUE,HKG,亚太,香港,39 ms,4265 kB/s,4.17
34.147.18.239,443,TRUE,FRA,欧洲,法兰克福,303 ms,4248 kB/s,4.15
192.9.182.144,443,TRUE,SYD,大洋洲,悉尼,162 ms,4242 kB/s,4.14
34.159.30.28,443,TRUE,FRA,欧洲,法兰克福,293 ms,4229 kB/s,4.13
8.210.55.134,2095,FALSE,HKG,亚太,香港,38 ms,4216 kB/s,4.12
51.140.85.89,8443,TRUE,LHR,欧洲,伦敦,263 ms,4198 kB/s,4.1
47.243.27.217,8443,TRUE,HKG,亚太,香港,41 ms,4197 kB/s,4.1
154.9.237.215,20003,TRUE,LAX,北美洲,洛杉矶,163 ms,4190 kB/s,4.09
34.116.153.78,443,TRUE,FRA,欧洲,法兰克福,316 ms,4190 kB/s,4.09
193.123.233.143,2096,FALSE,NRT,亚太,东京,51 ms,4167 kB/s,4.07
34.118.122.183,443,TRUE,FRA,欧洲,法兰克福,278 ms,4158 kB/s,4.06
34.159.126.157,443,TRUE,FRA,欧洲,法兰克福,253 ms,4136 kB/s,4.04
34.116.142.118,443,TRUE,FRA,欧洲,法兰克福,244 ms,4105 kB/s,4.01
8.218.156.91,2052,FALSE,HKG,亚太,香港,41 ms,4085 kB/s,3.99
47.243.179.249,80,FALSE,HKG,亚太,香港,41 ms,4071 kB/s,3.98
192.18.139.229,8443,TRUE,SJC,北美洲,圣何塞,195 ms,4018 kB/s,3.92
158.101.20.88,2053,TRUE,LAX,北美洲,洛杉矶,204 ms,3999 kB/s,3.91
158.101.98.60,2095,TRUE,IAD,北美洲,阿什本,257 ms,3992 kB/s,3.9
8.218.156.91,8080,FALSE,HKG,亚太,香港,39 ms,3983 kB/s,3.89
35.247.124.181,443,TRUE,SEA,北美洲,西雅图,184 ms,3945 kB/s,3.85
108.165.169.221,8443,TRUE,YVR,北美洲,温哥华,186 ms,3922 kB/s,3.83
34.32.235.34,443,TRUE,FRA,欧洲,法兰克福,295 ms,3900 kB/s,3.81
34.32.255.76,443,TRUE,FRA,欧洲,法兰克福,273 ms,3898 kB/s,3.81
146.235.192.207,443,TRUE,SJC,北美洲,圣何塞,198 ms,3867 kB/s,3.78
154.12.59.251,18005,TRUE,LAX,北美洲,洛杉矶,165 ms,3863 kB/s,3.77
34.118.99.192,443,TRUE,FRA,欧洲,法兰克福,286 ms,3861 kB/s,3.77
59.125.68.209,23555,TRUE,KHH,亚太,高雄,60 ms,3848 kB/s,3.76
129.146.213.36,80,TRUE,LAX,北美洲,洛杉矶,213 ms,3687 kB/s,3.6
34.154.187.40,443,TRUE,FRA,欧洲,法兰克福,347 ms,3647 kB/s,3.56
47.243.179.249,2096,TRUE,HKG,亚太,香港,40 ms,3635 kB/s,3.55
51.107.1.96,8443,TRUE,MXP,欧洲,米兰,262 ms,3628 kB/s,3.54
8.218.52.115,2082,FALSE,HKG,亚太,香港,39 ms,3624 kB/s,3.54
34.65.78.221,443,TRUE,FRA,欧洲,法兰克福,346 ms,3612 kB/s,3.53
172.205.149.35,8443,TRUE,AMS,欧洲,阿姆斯特丹,271 ms,3609 kB/s,3.52
61.222.202.104,23555,TRUE,KHH,亚太,高雄,60 ms,3605 kB/s,3.52
47.243.172.103,55041,TRUE,HKG,亚太,香港,38 ms,3599 kB/s,3.51
34.116.184.196,443,TRUE,FRA,欧洲,法兰克福,247 ms,3578 kB/s,3.49
104.18.208.50,2052,FALSE,SJC,北美洲,圣何塞,179 ms,3540 kB/s,3.46
129.146.248.140,443,TRUE,LAX,北美洲,洛杉矶,214 ms,3510 kB/s,3.43
165.154.161.183,553,TRUE,TPE,亚太,台北,57 ms,3499 kB/s,3.42
47.243.27.217,80,FALSE,HKG,亚太,香港,42 ms,3456 kB/s,3.38
8.210.131.161,34237,TRUE,HKG,亚太,香港,38 ms,3429 kB/s,3.35
34.154.186.32,443,TRUE,FRA,欧洲,法兰克福,225 ms,3426 kB/s,3.35
104.19.112.50,2052,FALSE,LAX,北美洲,洛杉矶,209 ms,3407 kB/s,3.33
129.153.213.8,443,TRUE,LAX,北美洲,洛杉矶,204 ms,3394 kB/s,3.31
47.242.171.94,8880,FALSE,HKG,亚太,香港,40 ms,3357 kB/s,3.28
172.67.144.50,2052,FALSE,SEA,北美洲,西雅图,181 ms,3352 kB/s,3.27
51.107.6.231,8443,TRUE,MXP,欧洲,米兰,265 ms,3338 kB/s,3.26
146.56.141.168,47590,TRUE,ICN,亚太,首尔,74 ms,3334 kB/s,3.26
8.210.105.217,55213,TRUE,HKG,亚太,香港,38 ms,3310 kB/s,3.23
155.248.202.141,443,TRUE,SJC,北美洲,圣何塞,195 ms,3279 kB/s,3.2
20.254.95.107,2096,TRUE,LHR,欧洲,伦敦,257 ms,3272 kB/s,3.2
34.89.255.52,443,TRUE,FRA,欧洲,法兰克福,239 ms,3249 kB/s,3.17
104.21.32.50,2052,FALSE,LAX,北美洲,洛杉矶,208 ms,3209 kB/s,3.13
8.218.156.91,2095,FALSE,HKG,亚太,香港,42 ms,3202 kB/s,3.13
20.84.118.215,8443,TRUE,IAD,北美洲,阿什本,231 ms,3180 kB/s,3.11
172.205.149.35,2053,TRUE,AMS,欧洲,阿姆斯特丹,270 ms,3173 kB/s,3.1
104.16.128.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,3161 kB/s,3.09
34.90.7.3,443,TRUE,FRA,欧洲,法兰克福,304 ms,3159 kB/s,3.08
150.109.156.204,10002,TRUE,HKG,亚太,香港,37 ms,3151 kB/s,3.08
104.20.160.50,2052,FALSE,LAX,北美洲,洛杉矶,208 ms,3140 kB/s,3.07
104.19.224.50,2052,FALSE,SJC,北美洲,圣何塞,193 ms,3134 kB/s,3.06
