IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
172.64.147.50,2052,FALSE,HKG,亚太,香港,36 ms,18924 kB/s,18.48
172.64.48.50,2052,FALSE,SJC,北美洲,圣何塞,180 ms,18682 kB/s,18.24
129.154.206.254,59158,TRUE,HKG,亚太,香港,35 ms,18643 kB/s,18.21
35.244.181.58,80,FALSE,HKG,亚太,香港,37 ms,18640 kB/s,18.2
45.66.129.123,32680,TRUE,NRT,亚太,东京,65 ms,18470 kB/s,18.04
13.228.170.74,443,TRUE,SIN,亚太,新加坡,64 ms,18205 kB/s,17.78
104.129.164.200,443,TRUE,SEA,北美洲,西雅图,178 ms,18110 kB/s,17.69
60.249.89.77,23555,TRUE,KHH,亚太,高雄,59 ms,17889 kB/s,17.47
104.21.48.50,2052,FALSE,SJC,北美洲,圣何塞,189 ms,17872 kB/s,17.45
47.243.179.249,2083,TRUE,HKG,亚太,香港,41 ms,17818 kB/s,17.4
35.201.203.106,443,TRUE,TPE,亚太,台北,188 ms,17766 kB/s,17.35
54.179.184.9,80,TRUE,SIN,亚太,新加坡,66 ms,17563 kB/s,17.15
118.163.175.168,23555,TRUE,KHH,亚太,高雄,64 ms,17541 kB/s,17.13
172.64.148.50,2052,FALSE,SJC,北美洲,圣何塞,164 ms,17471 kB/s,17.06
104.27.48.50,2052,FALSE,SJC,北美洲,圣何塞,184 ms,17276 kB/s,16.87
54.251.191.147,443,TRUE,SIN,亚太,新加坡,67 ms,17262 kB/s,16.86
43.153.80.208,443,TRUE,SJC,北美洲,圣何塞,197 ms,17132 kB/s,16.73
172.64.78.50,2052,FALSE,MEM,北美洲,孟菲斯,247 ms,17130 kB/s,16.73
206.190.234.185,33533,TRUE,KIX,亚太,大阪,85 ms,16987 kB/s,16.59
104.18.42.50,2052,FALSE,HKG,亚太,香港,36 ms,16984 kB/s,16.59
202.141.163.4,23336,TRUE,HKG,亚太,香港,20 ms,16667 kB/s,16.28
8.210.55.134,2053,TRUE,HKG,亚太,香港,46 ms,16528 kB/s,16.14
104.17.96.50,2052,FALSE,HKG,亚太,香港,35 ms,16484 kB/s,16.1
4.255.56.137,80,FALSE,IAD,北美洲,阿什本,224 ms,16313 kB/s,15.93
13.212.204.68,80,FALSE,SIN,亚太,新加坡,66 ms,16148 kB/s,15.77
27.50.48.108,443,TRUE,SEA,北美洲,西雅图,177 ms,16128 kB/s,15.75
104.19.38.235,443,TRUE,HKG,亚太,香港,39 ms,16054 kB/s,15.68
172.64.96.50,2052,FALSE,SJC,北美洲,圣何塞,191 ms,15978 kB/s,15.6
34.95.126.8,80,FALSE,HKG,亚太,香港,36 ms,15942 kB/s,15.57
104.17.208.50,2052,FALSE,HKG,亚太,香港,36 ms,15629 kB/s,15.26
129.150.62.252,54774,TRUE,SIN,亚太,新加坡,142 ms,15450 kB/s,15.09
104.18.128.50,2052,FALSE,SJC,北美洲,圣何塞,161 ms,15280 kB/s,14.92
47.243.27.217,8880,FALSE,HKG,亚太,香港,40 ms,15065 kB/s,14.71
47.242.171.94,2096,TRUE,HKG,亚太,香港,40 ms,14918 kB/s,14.57
104.18.33.205,8443,TRUE,HKG,亚太,香港,35 ms,14815 kB/s,14.47
